Região,Área,Pagamento,Opinião,Renda,Idade
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,4.48,41
Baependinha,Humanidades,Financiamento bancário,Muito sa ,1.41,31
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.64,41
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.63,27
Itamaracanã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.42,28
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.13,30
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,4.32,41
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.01,25
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.6,43
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.08,31
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,2.1,36
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.09,20
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.87,38
Aratibutantã,Administração,Incentivos federais,Indiferente,2.86,34
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.75,39
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.9,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.01,22
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.99,44
Baependinha,Administração,Financiamento bancário,Satisfeito,1.73,30
Baependinha,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,3.79,36
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.17,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.13, 
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.33,30
Itamaracanã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.23,33
Baependinha,Jurídica e Contábil,Financi ,Indiferente,2.07,34
Baependinha,Jurídica e Contábil,Auxílio de familiares,Satisfeito,2.23,37
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.65,38
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,4.51,40
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.91,30
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.48,27
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.65,30
Baependinha,Humanidades,Financiamento bancário,Indiferente,1.84,31
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,1.75,38
Aratibutantã,Administração,Incentivos federais,Indiferente,2.45,34
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.03,34
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,2.03,32
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.71,27
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.23,26
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.14,29
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.4,27
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Insatisfeito,4.48,37
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.45,39
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.55,30
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.08,27
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Satisfeito,2.37,37
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,14.42,35
Baependinha,Administração,Bolsas de estudo,Insatisfeito,2.63,41
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.09,20
Baependinha,Administração,Financiamento bancário, ,1.1,31
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.11,25
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.61,30
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.84,37
Baependinha,Engenha ,Financiamento bancário,Muito satisfeito,1.43,25
Itamaracanã,Educacional,Financiamento bancário,Muito s ,1.12,30
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.19,29
Baependinha,Jurídica e Contábil,Financiamento bancário,Insatisfeito,2.63,34
Baependinha,Administração,Recursos próprios,Satisfeito,1.51,36
Jaquereçaba,Jurídica e Contábil,Financiamento bancário,Insatisfeito,2.46,30
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.25,30
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.4,32
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.41,37
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1,18
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,2.57,31
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.24,27
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.27,29
Aratibutantã,Administração,Financiamento bancário,Satisfeito,2.04,35
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.11,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisf ,2.82,38
Baependinha,Computação e Matemática,Auxílio de familiares,Muito satisfeito,1.67,26
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.93,38
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.04,21
Baependinha,Jurídica e Contábil,Auxílio de familiares,Satisfeito,2.07,31
Aratibutantã,Engenharia e Produção,Incentivos federais,Muito insatisfeito,4.24,40
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.58,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.65,41
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.35,25
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,2.36,27
Aratibutantã,Humanidades,Financiamento bancário,Muito satisfeito,3.26,32
Aratibutantã,Engenharia e Produção,Recursos próprios,Satisfeito,1.63,23
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,2.75,33
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.04,38
Baependinha,Administração,Financiamento bancário,Satisfeito,2.05,28
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.31,25
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.93,37
Baependinha,Computação e Matemática,Incentivos federais,Satisfeito,1.75,26
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,2.67,37
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.01,29
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.24,36
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,4.35,35
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.77,29
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.16,29
Baependinha,Engenharia e Produção,Auxílio de familiares,Indiferente,2.25,30
Paranapitanga,Jurídica e Contábil,Incentivos federais,Insatisfeito,22.96,41
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,2.86,33
Baependinha,Jurídica e Contábil,Bolsas d ,Insatisfeito,3.45,34
Itamaracanã,Humanid ,Financiamento bancário,Muito satisfeito,1.07,56
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.52,31
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.46,40
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,19
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.11,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,2.63,32
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,14.7,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,4.4,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.5,29
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,1.7,27
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.31,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.54,38
Baependinha,Computação e Matemática,Recursos próprios,Muito satisfeito,4.56,32
Aratibutantã,Engenharia e Produção,Incentivos federais,Indiferente,4.4,38
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.27,33
Jaquereçaba,Computação e Matemática,Incentivos federais,Indiferente,2.43,39
Baependinha,Administração,Financiamento bancário,Muito s ,1.1,27
Baependinha,Administração,Recursos próprios,Satisfeito,2.13,33
Itamaracanã,Computação e Matemática,Incentivos federais,Indiferente,1.65,33
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.33,32
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.78,32
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,28
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.22,41
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,28
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.27,31
Aratibutantã,Administração,Incentivos federais,Insatisfeito,3.54,36
Aratibutantã,Humanidades,Auxílio de familiares,Satisfeito,1.85,29
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.61,37
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.91,29
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.24,29
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,1.71,31
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,1.81,35
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,2.25,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.83,43
Baependinha,Jurídica e Contábil,Recursos próprios,Satisfeito,1.8,29
Baependinha,Engenharia e Produção,Auxílio de familiares,Muito satisfeito,1.37,35
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Muito satisfeito,2.31,26
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,8.3,43
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Indiferente,1.92,28
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Insatisfeito,4.35,36
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.06,28
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.13,27
Baependinha,Administração,Financiamento bancário,Muito satisfeito,2.04,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.47,36
Baependinha,Humanidades,Financiamento bancário,Satisfeito,1.48,37
Paranapitanga,Engenharia e Produção,Incentivos federais,Muito insatisfeito,5.19,41
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,3.26,33
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.61,26
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,2.23,31
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.69,25
Baependinha,Administração,Incentivos federais,Indiferente,2.62,36
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.31,35
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2,32
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,2.33,32
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.35,30
Aratibutantã,Engenharia e Produção,Bolsas de estudo,Indiferente,2.36,40
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,2.46,35
Aratibutantã,Computação e Matemática,Auxílio de familiares,Indiferente,2.05,35
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,24
Baependinha,Jurídica e Contábil,Bolsa ,Indiferente,2.52,35
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,2.13,34
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.33,28
Jaquereçaba,Engenharia e Produção,Recursos próprios,Insatisfeito,3.02,31
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.41,29
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.82,30
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,2.09,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.03,26
Baependinha,Jurídica e Contábil,Financiamento bancário,Indiferente,1.57,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.08,29
Itamaracanã,Humanidades,Financia ,Muito satisfeito,1.1,25
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.72,29
Aratibut ,Engenharia e Produção,Recursos próprios,Indiferente,2.63,32
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.08,23
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.77,37
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.4,28
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.06,33
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.51,38
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.16,39
Baependinha,Engenharia e Produção,Bolsas de estudo,Satisfeito,2.3,33
Aratibutantã,Administração,Recursos próprios,Indiferente,3.41,37
Baependinha,Engenharia e Produção,Incentivos federais,Indiferente,1.82,35
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito, ,30
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.53,36
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.2,29
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.74,29
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.04,20
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.39,28
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.27,30
 ,Administração,Bolsas de estudo,Satisfeito,1.71,30
Baependinha,Jurídica e Contábil,Incentivos federais,Satisfeito,2.39,35
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.12,27
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,2.34,33
Aratib ,Engenharia e Produção,Incentivos federais,Indiferente,3.54,37
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.32,22
Jaquereçaba,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,5.09,36
Baependinha,Administração,Auxílio de familiares,Indiferente,1.48,28
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.24,28
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,22
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.22,37
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,3.41,39
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,23
Itamaracanã,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.07,27
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.62,35
Baependinha, ,Recursos próprios,Indiferente,3.16,36
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.36,27
Baependinha,Jurídica e Contábil,Bolsas de estudo,Indiferente,2.04,36
Baependinha,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.12,31
Baependinha,Engenharia e Produção,Auxílio de familiares,Insatisfeito,2.29,39
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.7,32
Baependinha,Administração,Recursos próprios,Satisfeito,2.18,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,5.47,42
Baependinha,Educacional,Financiamento bancário,Satisfeito,1.64,28
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.42,28
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,2.49,33
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.2,27
Itamaracanã,Jurídica e Contábil, ,Muito satisfeito,1.03,25
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.2,29
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.3,30
Baependinha,Administração,Recursos próprios,Indiferente, ,26
Aratibutantã,Jurídica e Contábil,Recurso ,Indiferente,2.51,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.93,35
Baependinha,Jurídica e Contábil,Recursos próprios,Muito satisfeito,1.4,32
Jaquereçaba, ,Incentivos federais,Muito insatisfeito,4.68,33
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Indiferente,1.72,36
Itamaracanã,Jurídic ,Financiamento bancário,Muito satisfeito,1.17,35
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,2.19,38
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.18, 
Aratibut ,Engenharia e Produção,Incentivos federais,Indiferente,5.36,38
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.71,30
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.03,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.89,37
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,2.86,32
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,6.97,43
Baependinha,Administração,Financiamento bancário,Satisfeito,1.36,33
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,2.2,21
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.03,47
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Indiferente,3.14,39
Baependinha,Humanidades,Incen ,Muito satisfeito,1.3,26
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.03,21
Baependinha,Computação e Matemática,Financiamento bancário,Satisfeito,2.08,34
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,3.89,34
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.14,33
Baependinha,Administração,Financiamento bancário,Satisfeito,1.62,27
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.63,32
Baependinha,Computação e Matemática,Incentiv ,Indiferente,1.94,36
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.09,26
Baependinha,Engenharia e Produção,Bolsas de estudo,Indiferente,2.26,38
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.66,32
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,3.47,44
Aratibutantã,Engenharia e Produção,Recursos próprios,Muito satisfeito,1.9,29
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.22,36
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.73,38
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.07,24
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.12,23
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.07,27
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.63,33
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisf ,4.88,40
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.41,29
Itamaracanã,Administração,Financiamento bancário,Muito s ,1.13,30
Baependinha,Engenharia e Produção,Incentivos federais,Muito satisfeito,1.18,27
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.45,30
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.01,27
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.23,38
Aratibutantã,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.4,38
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.03,22
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.15,30
Jaquereçaba,Humanidades,Recursos próprios,Indiferente,7.64,32
Aratibutantã,Juríd ,Incentivos federais,Insatisfeito,2.77,37
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.52,33
Jaquereçaba,Engenharia e Produção,Incentivos federais,Insatisfeito,2.84,32
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.43,32
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.28,32
Jaquereçaba,Engenharia e Produção,Bolsas de estudo,Insatisfeito,5.28,36
Jaquereçaba,Administração,Recursos próprios,Indiferente,2.17,31
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.11,23
Baependinha,Administração,Incentivos federais,Indiferente,2.08,32
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.46,38
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.27,35
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,1.43,30
Aratibutantã,Engenharia e Produção,Incentivos federais,Insatisfeito,2.7,33
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Indiferente,2.02,35
Jaquereçaba,Jurídica e Contábil,Recursos próprios,Insatisfeito,3.47,37
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.2,37
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Satisfeito,2.21,35
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.65,32
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,1.55,30
Baependinha,Engenharia e Produção,Recursos próprios,Indiferente,2.37,35
Baependinha,Jurídica e Contábil,Financiamento bancário,Muito satisfeito,1.19,31
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.11,27
Baependinha,Computação e Matemática,Financiamento bancário,Muito satisfeito,1.42,32
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.06,20
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.84,33
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.07,26
Baependinha,Jurídica e Contábil,Incentivos federais,Indiferente,1.77,29
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.89,36
Baependinha,Jurídica e Contábil,Bolsas de estudo,Insatisfeito,2.43,38
Baependinha,Engenharia e Produção,Financiamento bancário,Indiferente,2.4,34
Baependinha,Jurídica e Contábil,Bolsas de estudo,Satisfeito,1.94,33
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.56,32
Baependinha,Jurídic ,Auxílio de familiares,Muito satisfeito,1.94,34
Baependinha,Humanidades,Recursos próprios,Muito satisfeito,1.39,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.82,42
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,8.28,30
Itamaracanã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.4,33
Baependinha,Engenharia e Produção,Auxílio de familiares,Indiferente,2.48,31
Aratibutantã,Engenharia e Produção,Financiamento bancário,Satisfeito,1.71,29
Itamaracanã,Engenharia e Produção,Financi ,Muito satisfeito,1.06,22
Aratibutantã,Administração,Bolsas de estudo,Indiferente,2.1,31
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.5,27
Baependinha,Jurídica e Contábil,Recursos próprios,Indiferente,3,35
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.04,23
Baependinha,Engenharia e Produção,Financiamento bancário,Satisfeito,1.23,31
Baependinha,Engenharia e Produção,Recursos próprios,Satisfeito,1.7,37
Baependinha,Engenharia e Produção,Auxílio de familiares,Satisfeito,2.1,33
Baependinha,Jurídica e Contábil,Financia ,Satisfeito,1.54,27
Aratibutantã,Engenharia e Produção,Auxílio de familiares,Indiferente,1.9,31
Aratibutantã,Educacional,Financiamento bancário,Satisfeito,1.76,36
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.33,30
Baependinha,Engenharia e Produção,Recursos próprios,Muito satisfeito,2.15,38
Baependinha,Administração,Financiamento bancário,Muito satisfeito,1.11,24
